Tanggal,Terakhir,Pembukaan,Close IDR,Consumer Confidence,Emas USD,BI Rate
2016-12-23,576.13,573.42,13449.0,115.9,1133.6,4.75
2016-12-27,582.88,573.62,13442.0,115.9,1138.8,4.75
2016-12-28,594.3,587.15,13429.0,115.9,1140.9,4.75
2016-12-29,611.62,597.09,13490.0,115.9,1158.1,4.75
2016-12-30,613.8,612.84,13466.0,115.9,1151.7,4.75
2017-01-02,605.77,611.25,13258.0,115.4,1196.2,4.75
2017-01-03,601.68,607.7,13313.0,115.4,1212.9,4.75
2017-01-11,603.09,601.0,13349.0,115.4,1214.3,4.75
2017-01-13,608.34,605.38,13296.0,115.4,1212.1,4.75
2017-01-16,608.65,609.55,13370.0,115.4,1201.5,4.75
